scheme_name,Alpha,Beta
ABSL Frontline Equity Fund - Regular - Growth,0.213997847760512,0.021086316250128065
ABSL Liquid Fund - Regular - Growth,0.06086145795787111,0.0002667096833823837
ABSL Small Cap Fund - Regular - Growth,0.1089709190170452,-0.06528924788351524
Axis Bluechip Fund - Direct - Growth,0.08232801295222095,0.025883212440093173
Axis Bluechip Fund - Regular - Growth,0.06899529821677546,0.009730745001153646
Axis Midcap Fund - Regular - Growth,0.26076669080042203,-0.0662654286280376
Axis Small Cap Fund - Regular - Growth,0.04801595363775939,-0.06695117463929202
DSP Midcap Fund - Regular - Growth,0.26598577542043034,-0.0025230046646992276
DSP Small Cap Fund - Regular - Growth,0.30057878170976765,0.011455159960520695
DSP Top 100 Equity Fund - Regular - Growth,0.13173190226099415,-0.004050271130006497
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11989100971217971,0.009054412621739161
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.27195354501285307,0.005103525830528348
HDFC Short Term Debt Fund - Regular - Growth,0.04281792031506087,0.0011582183155281426
HDFC Top 100 Fund - Direct Plan - Growth,0.1772975492753176,0.04882040425957734
HDFC Top 100 Fund - Regular Plan - Growth,0.037475807634432805,-0.058268431438808894
ICICI Pru Bluechip Fund - Direct - Growth,0.21194827013525716,0.01623216976141701
ICICI Pru Bluechip Fund - Regular - Growth,0.1770330236584404,-0.040268952369820595
ICICI Pru Liquid Fund - Regular - Growth,0.06746210411099536,-0.00044409263297072183
ICICI Pru Midcap Fund - Regular - Growth,0.29263583341751037,0.0005490042506317184
ICICI Pru Value Discovery Fund - Regular - Growth,0.1625385327998102,0.041896462728119734
Kotak Bluechip Fund - Regular - Growth,0.1304292445070544,0.03635639902219978
Kotak Emerging Equity Fund - Regular - Growth,0.07804438876155079,0.018056874208118134
Kotak Flexicap Fund - Regular - Growth,0.2733046503830606,-0.022829569792426518
Kotak Liquid Fund - Regular - Growth,0.06455677495375997,-0.0004007442394783994
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20873010086942326,-0.026387719943843
Mirae Asset Large Cap Fund - Regular - Growth,0.26983751441918075,0.02368355807584869
Mirae Asset Tax Saver Fund - Regular - Growth,0.28270367852465805,0.01813388408385917
Nippon India ETF Nifty 50 BeES,0.15136354648239236,-0.0014335213897801052
Nippon India Gilt Securities Fund - Regular - Growth,0.05074772999976102,0.0012566742731558492
Nippon India Large Cap Fund - Direct - Growth,0.15643835948169663,-0.036639006718609354
Nippon India Large Cap Fund - Regular - Growth,0.21829397904608638,-0.00835383212696202
Nippon India Small Cap Fund - Regular - Growth,0.1750072167561127,0.10349663691337595
SBI Bluechip Fund - Direct Plan - Growth,0.19868599366862966,-0.02615930751351341
SBI Bluechip Fund - Regular Plan - Growth,0.2320100716063507,-0.03175144113890976
SBI Magnum Gilt Fund - Regular Plan - Growth,0.05620895216638369,-0.006413850728276483
SBI Small Cap Fund - Direct Plan - Growth,0.04882421594553978,0.06200180438267167
SBI Small Cap Fund - Regular Plan - Growth,0.3033696538698332,-0.023196062044059704
UTI Flexi Cap Fund - Regular - Growth,0.1621125679403325,0.016682689437770817
UTI Mid Cap Fund - Regular - Growth,0.02896939786637944,-0.042125029021894314
UTI Nifty 50 Index Fund - Regular - Growth,0.1704875680341268,-0.019486785689474533
